P,ETP,Q
0,3.36,1.9
0,3.36,1.9
0,3.36,1.9
0,3.36,1.9
2.5,3.36,2.9
0.2,3.36,2.9
0.3,3.36,2.4
1.1,3.36,1.6
0,3.36,1.3
0,3.36,1.1
1.4,3.36,1.1
0,3.36,1.2
0,3.36,1.3
0,3.36,1.3
0,3.36,1.3
0,3.36,1.4
1.9,3.36,1.3
0,3.36,1.1
0,3.36,1.1
0,3.36,1.1
0,3.65,1.1
0,3.65,1.1
0,3.65,1
0,3.65,0.9
0,3.65,0.9
0,3.65,0.9
0.4,3.65,1.1
0.4,3.65,1
0.3,3.65,0.9
